编码类型,编码,中文名称,标准定义,适用字段,排序,是否启用,备注
救应有效性,RES02,弱救应,救应有效性的标准选项：弱救应。具体成立条件由对应模块规则定义。,救应有效性,2,是,
救应有效性,RES03,部分有效,救应有效性的标准选项：部分有效。具体成立条件由对应模块规则定义。,救应有效性,3,是,
救应有效性,RES04,明显有效,救应有效性的标准选项：明显有效。具体成立条件由对应模块规则定义。,救应有效性,4,是,
救应有效性,RES05,完全救应,救应有效性的标准选项：完全救应。具体成立条件由对应模块规则定义。,救应有效性,5,是,
救应有效性,RES06,待定,救应有效性的标准选项：待定。具体成立条件由对应模块规则定义。,救应有效性,6,是,
病类,DIS01,旺衰病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,1,是,
病类,DIS02,流通病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,2,是,
病类,DIS03,制化病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,3,是,
病类,DIS04,格局病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,4,是,
病类,DIS05,调候病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,5,是,
病类,DIS06,复合病,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,6,是,
病类,DIS07,待定,按旺衰、流通、制化、格局、调候或复合机制分类原局主要问题。,病类,7,是,
严重程度,SEV01,轻微,严重程度的标准选项：轻微。具体成立条件由对应模块规则定义。,严重程度,1,是,
严重程度,SEV02,一般,严重程度的标准选项：一般。具体成立条件由对应模块规则定义。,严重程度,2,是,
严重程度,SEV03,明显,严重程度的标准选项：明显。具体成立条件由对应模块规则定义。,严重程度,3,是,
严重程度,SEV04,严重,严重程度的标准选项：严重。具体成立条件由对应模块规则定义。,严重程度,4,是,
严重程度,SEV05,首要矛盾,严重程度的标准选项：首要矛盾。具体成立条件由对应模块规则定义。,严重程度,5,是,
严重程度,SEV06,待定,严重程度的标准选项：待定。具体成立条件由对应模块规则定义。,严重程度,6,是,
药理,MED01,扶,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,1,是,
药理,MED02,抑,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,2,是,
药理,MED03,泄,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,3,是,
药理,MED04,制,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,4,是,
药理,MED05,化,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,5,是,
药理,MED06,生,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,6,是,
药理,MED07,通,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,7,是,
药理,MED08,润,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,8,是,
药理,MED09,暖,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,9,是,
药理,MED10,燥湿,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,10,是,
药理,MED11,清杂,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,11,是,
药理,MED12,护格,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,12,是,
药理,MED13,救应,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,13,是,
药理,MED14,复合药理,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,14,是,
药理,MED15,待定,描述药神如何解决原局之病，并需评估药力不足、过量与新病风险。,药理,15,是,
温度状态,TMP01,极寒,温度状态的标准选项：极寒。具体成立条件由对应模块规则定义。,温度状态,1,是,
温度状态,TMP02,偏寒,温度状态的标准选项：偏寒。具体成立条件由对应模块规则定义。,温度状态,2,是,
温度状态,TMP03,平衡,温度状态的标准选项：平衡。具体成立条件由对应模块规则定义。,温度状态,3,是,
温度状态,TMP04,偏暖,温度状态的标准选项：偏暖。具体成立条件由对应模块规则定义。,温度状态,4,是,
温度状态,TMP05,极热,温度状态的标准选项：极热。具体成立条件由对应模块规则定义。,温度状态,5,是,
温度状态,TMP06,待定,温度状态的标准选项：待定。具体成立条件由对应模块规则定义。,温度状态,6,是,
湿度状态,HUM01,极湿,湿度状态的标准选项：极湿。具体成立条件由对应模块规则定义。,湿度状态,1,是,
湿度状态,HUM02,偏湿,湿度状态的标准选项：偏湿。具体成立条件由对应模块规则定义。,湿度状态,2,是,
湿度状态,HUM03,平衡,湿度状态的标准选项：平衡。具体成立条件由对应模块规则定义。,湿度状态,3,是,
湿度状态,HUM04,偏燥,湿度状态的标准选项：偏燥。具体成立条件由对应模块规则定义。,湿度状态,4,是,
湿度状态,HUM05,极燥,湿度状态的标准选项：极燥。具体成立条件由对应模块规则定义。,湿度状态,5,是,
湿度状态,HUM06,待定,湿度状态的标准选项：待定。具体成立条件由对应模块规则定义。,湿度状态,6,是,
评估轴,AX01,寒暖轴,评估轴的标准选项：寒暖轴。具体成立条件由对应模块规则定义。,评估轴,1,是,
评估轴,AX02,燥湿轴,评估轴的标准选项：燥湿轴。具体成立条件由对应模块规则定义。,评估轴,2,是,
评估轴,AX03,寒暖燥湿综合,评估轴的标准选项：寒暖燥湿综合。具体成立条件由对应模块规则定义。,评估轴,3,是,
调候紧急度,URG01,低,调候紧急度的标准选项：低。具体成立条件由对应模块规则定义。,调候紧急度,1,是,
调候紧急度,URG02,中,调候紧急度的标准选项：中。具体成立条件由对应模块规则定义。,调候紧急度,2,是,
调候紧急度,URG03,高,调候紧急度的标准选项：高。具体成立条件由对应模块规则定义。,调候紧急度,3,是,
调候紧急度,URG04,首要,调候紧急度的标准选项：首要。具体成立条件由对应模块规则定义。,调候紧急度,4,是,
调候紧急度,URG05,待定,调候紧急度的标准选项：待定。具体成立条件由对应模块规则定义。,调候紧急度,5,是,
流通状态,FLOW01,通畅,流通状态的标准选项：通畅。具体成立条件由对应模块规则定义。,流通状态,1,是,
流通状态,FLOW02,基本通畅,流通状态的标准选项：基本通畅。具体成立条件由对应模块规则定义。,流通状态,2,是,
流通状态,FLOW03,局部阻塞,流通状态的标准选项：局部阻塞。具体成立条件由对应模块规则定义。,流通状态,3,是,
流通状态,FLOW04,明显阻断,流通状态的标准选项：明显阻断。具体成立条件由对应模块规则定义。,流通状态,4,是,
流通状态,FLOW05,无有效路径,流通状态的标准选项：无有效路径。具体成立条件由对应模块规则定义。,流通状态,5,是,
流通状态,FLOW06,待定,流通状态的标准选项：待定。具体成立条件由对应模块规则定义。,流通状态,6,是,
卡点类型,BLOCK01,缺桥,卡点类型的标准选项：缺桥。具体成立条件由对应模块规则定义。,卡点类型,1,是,
卡点类型,BLOCK02,桥梁太弱,卡点类型的标准选项：桥梁太弱。具体成立条件由对应模块规则定义。,卡点类型,2,是,
卡点类型,BLOCK03,桥梁被克,卡点类型的标准选项：桥梁被克。具体成立条件由对应模块规则定义。,卡点类型,3,是,
卡点类型,BLOCK04,桥梁被合绊,卡点类型的标准选项：桥梁被合绊。具体成立条件由对应模块规则定义。,卡点类型,4,是,
卡点类型,BLOCK05,源头过旺无泄,卡点类型的标准选项：源头过旺无泄。具体成立条件由对应模块规则定义。,卡点类型,5,是,
卡点类型,BLOCK06,终点过弱不能承载,卡点类型的标准选项：终点过弱不能承载。具体成立条件由对应模块规则定义。,卡点类型,6,是,
卡点类型,BLOCK07,终点过旺反制,卡点类型的标准选项：终点过旺反制。具体成立条件由对应模块规则定义。,卡点类型,7,是,
卡点类型,BLOCK08,两强相战,卡点类型的标准选项：两强相战。具体成立条件由对应模块规则定义。,卡点类型,8,是,
卡点类型,BLOCK09,寒凝,卡点类型的标准选项：寒凝。具体成立条件由对应模块规则定义。,卡点类型,9,是,
卡点类型,BLOCK10,燥枯,卡点类型的标准选项：燥枯。具体成立条件由对应模块规则定义。,卡点类型,10,是,
卡点类型,BLOCK11,链路过长,卡点类型的标准选项：链路过长。具体成立条件由对应模块规则定义。,卡点类型,11,是,
卡点类型,BLOCK12,回流壅塞,卡点类型的标准选项：回流壅塞。具体成立条件由对应模块规则定义。,卡点类型,12,是,
卡点类型,BLOCK13,其他,卡点类型的标准选项：其他。具体成立条件由对应模块规则定义。,卡点类型,13,是,
组合类别,COMB01,生化型,组合类别的标准选项：生化型。具体成立条件由对应模块规则定义。,组合类别,1,是,
组合类别,COMB02,制化型,组合类别的标准选项：制化型。具体成立条件由对应模块规则定义。,组合类别,2,是,
组合类别,COMB03,平衡承载型,组合类别的标准选项：平衡承载型。具体成立条件由对应模块规则定义。,组合类别,3,是,
组合类别,COMB04,冲突病态型,组合类别的标准选项：冲突病态型。具体成立条件由对应模块规则定义。,组合类别,4,是,
组合类别,COMB05,其他,组合类别的标准选项：其他。具体成立条件由对应模块规则定义。,组合类别,5,是,
用神来源,USE01,扶抑用神,用神来源的标准选项：扶抑用神。具体成立条件由对应模块规则定义。,用神来源,1,是,
用神来源,USE02,格局用神,用神来源的标准选项：格局用神。具体成立条件由对应模块规则定义。,用神来源,2,是,
用神来源,USE03,通关用神,用神来源的标准选项：通关用神。具体成立条件由对应模块规则定义。,用神来源,3,是,
用神来源,USE04,调候用神,用神来源的标准选项：调候用神。具体成立条件由对应模块规则定义。,用神来源,4,是,
用神来源,USE05,病药用神,用神来源的标准选项：病药用神。具体成立条件由对应模块规则定义。,用神来源,5,是,
用神来源,USE06,复合来源,用神来源的标准选项：复合来源。具体成立条件由对应模块规则定义。,用神来源,6,是,
主次优先级,UPR01,第一顺位,主次优先级的标准选项：第一顺位。具体成立条件由对应模块规则定义。,主次优先级,1,是,
主次优先级,UPR02,第二顺位,主次优先级的标准选项：第二顺位。具体成立条件由对应模块规则定义。,主次优先级,2,是,
主次优先级,UPR03,第三顺位,主次优先级的标准选项：第三顺位。具体成立条件由对应模块规则定义。,主次优先级,3,是,
主次优先级,UPR04,条件顺位,主次优先级的标准选项：条件顺位。具体成立条件由对应模块规则定义。,主次优先级,4,是,
主次优先级,UPR05,不采用,主次优先级的标准选项：不采用。具体成立条件由对应模块规则定义。,主次优先级,5,是,
主次优先级,UPR06,待定,主次优先级的标准选项：待定。具体成立条件由对应模块规则定义。,主次优先级,6,是,
必填性,REQ01,必填,必填性的标准选项：必填。具体成立条件由对应模块规则定义。,必填性,1,是,
必填性,REQ02,条件必填,必填性的标准选项：条件必填。具体成立条件由对应模块规则定义。,必填性,2,是,
必填性,REQ03,选填,必填性的标准选项：选填。具体成立条件由对应模块规则定义。,必填性,3,是,
必填性,REQ04,内部字段,必填性的标准选项：内部字段。具体成立条件由对应模块规则定义。,必填性,4,是,
输出层级,OUT01,内部推理,输出层级的标准选项：内部推理。具体成立条件由对应模块规则定义。,输出层级,1,是,
输出层级,OUT02,分析师输出,输出层级的标准选项：分析师输出。具体成立条件由对应模块规则定义。,输出层级,2,是,
输出层级,OUT03,用户输出,输出层级的标准选项：用户输出。具体成立条件由对应模块规则定义。,输出层级,3,是,
输出层级,OUT04,三层通用,输出层级的标准选项：三层通用。具体成立条件由对应模块规则定义。,输出层级,4,是,
数据类型,DT01,短文本,数据类型的标准选项：短文本。具体成立条件由对应模块规则定义。,数据类型,1,是,
数据类型,DT02,长文本,数据类型的标准选项：长文本。具体成立条件由对应模块规则定义。,数据类型,2,是,
数据类型,DT03,枚举,数据类型的标准选项：枚举。具体成立条件由对应模块规则定义。,数据类型,3,是,
数据类型,DT04,整数,数据类型的标准选项：整数。具体成立条件由对应模块规则定义。,数据类型,4,是,
数据类型,DT05,小数,数据类型的标准选项：小数。具体成立条件由对应模块规则定义。,数据类型,5,是,
数据类型,DT06,日期,数据类型的标准选项：日期。具体成立条件由对应模块规则定义。,数据类型,6,是,
数据类型,DT07,布尔/条件,数据类型的标准选项：布尔/条件。具体成立条件由对应模块规则定义。,数据类型,7,是,
数据类型,DT08,Rule_ID引用,数据类型的标准选项：Rule_ID引用。具体成立条件由对应模块规则定义。,数据类型,8,是,
数据类型,DT09,多值标签,数据类型的标准选项：多值标签。具体成立条件由对应模块规则定义。,数据类型,9,是,
性别,SEX01,男,性别的标准选项：男。具体成立条件由对应模块规则定义。,性别,1,是,
性别,SEX02,女,性别的标准选项：女。具体成立条件由对应模块规则定义。,性别,2,是,
性别,SEX03,未知/不适用,性别的标准选项：未知/不适用。具体成立条件由对应模块规则定义。,性别,3,是,
测试类型,TEST01,正例,测试类型的标准选项：正例。具体成立条件由对应模块规则定义。,测试类型,1,是,
测试类型,TEST02,反例,测试类型的标准选项：反例。具体成立条件由对应模块规则定义。,测试类型,2,是,
测试类型,TEST03,边界案例,测试类型的标准选项：边界案例。具体成立条件由对应模块规则定义。,测试类型,3,是,
测试类型,TEST04,回归测试,测试类型的标准选项：回归测试。具体成立条件由对应模块规则定义。,测试类型,4,是,
测试类型,TEST05,争议测试,测试类型的标准选项：争议测试。具体成立条件由对应模块规则定义。,测试类型,5,是,
测试类型,TEST06,综合案例,测试类型的标准选项：综合案例。具体成立条件由对应模块规则定义。,测试类型,6,是,
测试结果,TRES01,未测试,测试结果的标准选项：未测试。具体成立条件由对应模块规则定义。,复测结果、测试结果,1,是,
测试结果,TRES02,通过,实际结果与预期一致，未发现需要修订的关键偏差。,复测结果、测试结果,2,是,
测试结果,TRES03,部分通过,主要结论正确，但边界、输出或中间步骤需要修订。,复测结果、测试结果,3,是,
测试结果,TRES04,未通过,实际结果与预期冲突，规则需要重写、降级或停用。,复测结果、测试结果,4,是,
测试结果,TRES05,待复核,测试结果的标准选项：待复核。具体成立条件由对应模块规则定义。,复测结果、测试结果,5,是,
议题类型,ISS01,流派争议,议题类型的标准选项：流派争议。具体成立条件由对应模块规则定义。,议题类型,1,是,
议题类型,ISS02,规则冲突,议题类型的标准选项：规则冲突。具体成立条件由对应模块规则定义。,议题类型,2,是,
议题类型,ISS03,案例反证,议题类型的标准选项：案例反证。具体成立条件由对应模块规则定义。,议题类型,3,是,
议题类型,ISS04,定义修订,议题类型的标准选项：定义修订。具体成立条件由对应模块规则定义。,议题类型,4,是,
议题类型,ISS05,权重修订,议题类型的标准选项：权重修订。具体成立条件由对应模块规则定义。,议题类型,5,是,
议题类型,ISS06,例外补充,议题类型的标准选项：例外补充。具体成立条件由对应模块规则定义。,议题类型,6,是,
议题类型,ISS07,版本变更,议题类型的标准选项：版本变更。具体成立条件由对应模块规则定义。,议题类型,7,是,
争议级别,DISP01,无,争议级别的标准选项：无。具体成立条件由对应模块规则定义。,争议级别,1,是,
争议级别,DISP02,低,争议级别的标准选项：低。具体成立条件由对应模块规则定义。,争议级别,2,是,
争议级别,DISP03,中,争议级别的标准选项：中。具体成立条件由对应模块规则定义。,争议级别,3,是,
争议级别,DISP04,高,争议级别的标准选项：高。具体成立条件由对应模块规则定义。,争议级别,4,是,
变更类型,CHG01,新增,变更类型的标准选项：新增。具体成立条件由对应模块规则定义。,变更类型,1,是,
变更类型,CHG02,修订,变更类型的标准选项：修订。具体成立条件由对应模块规则定义。,变更类型,2,是,
变更类型,CHG03,拆分,变更类型的标准选项：拆分。具体成立条件由对应模块规则定义。,变更类型,3,是,
变更类型,CHG04,合并,变更类型的标准选项：合并。具体成立条件由对应模块规则定义。,变更类型,4,是,
变更类型,CHG05,停用,变更类型的标准选项：停用。具体成立条件由对应模块规则定义。,变更类型,5,是,
变更类型,CHG06,恢复,变更类型的标准选项：恢复。具体成立条件由对应模块规则定义。,变更类型,6,是,
变更类型,CHG07,仅文字优化,变更类型的标准选项：仅文字优化。具体成立条件由对应模块规则定义。,变更类型,7,是,
处理状态,HND01,待讨论,处理状态的标准选项：待讨论。具体成立条件由对应模块规则定义。,处理状态,1,是,
处理状态,HND02,待验证,处理状态的标准选项：待验证。具体成立条件由对应模块规则定义。,处理状态,2,是,
处理状态,HND03,已采纳,处理状态的标准选项：已采纳。具体成立条件由对应模块规则定义。,处理状态,3,是,
处理状态,HND04,不采纳,处理状态的标准选项：不采纳。具体成立条件由对应模块规则定义。,处理状态,4,是,
处理状态,HND05,延期,处理状态的标准选项：延期。具体成立条件由对应模块规则定义。,处理状态,5,是,
处理状态,HND06,已生效,处理状态的标准选项：已生效。具体成立条件由对应模块规则定义。,处理状态,6,是,
数据来源类型,SRC01,经典原文,数据来源类型的标准选项：经典原文。具体成立条件由对应模块规则定义。,数据来源类型,1,是,
数据来源类型,SRC02,古法注解,数据来源类型的标准选项：古法注解。具体成立条件由对应模块规则定义。,数据来源类型,2,是,
数据来源类型,SRC03,现代著作,数据来源类型的标准选项：现代著作。具体成立条件由对应模块规则定义。,数据来源类型,3,是,
数据来源类型,SRC04,实证案例,数据来源类型的标准选项：实证案例。具体成立条件由对应模块规则定义。,数据来源类型,4,是,
数据来源类型,SRC05,内部归纳,数据来源类型的标准选项：内部归纳。具体成立条件由对应模块规则定义。,数据来源类型,5,是,
数据来源类型,SRC06,争议规则,数据来源类型的标准选项：争议规则。具体成立条件由对应模块规则定义。,数据来源类型,6,是,
数据来源类型,SRC07,未知,数据来源类型的标准选项：未知。具体成立条件由对应模块规则定义。,数据来源类型,7,是,
建设阶段,PH01,第一阶段_基础关系,标记模块在知识库建设路线中的先后阶段。,建设阶段,1,是,
建设阶段,PH02,第二阶段_旺衰十神,标记模块在知识库建设路线中的先后阶段。,建设阶段,2,是,
建设阶段,PH03,第三阶段_流通格局,标记模块在知识库建设路线中的先后阶段。,建设阶段,3,是,
建设阶段,PH04,第四阶段_病药用神测试,标记模块在知识库建设路线中的先后阶段。,建设阶段,4,是,
当前状态,CUR01,未开始,标记模块目前处于框架、填充、测试或发布阶段。,当前状态,1,是,
当前状态,CUR02,框架完成,标记模块目前处于框架、填充、测试或发布阶段。,当前状态,2,是,
当前状态,CUR03,核心规则填充,标记模块目前处于框架、填充、测试或发布阶段。,当前状态,3,是,
当前状态,CUR04,测试中,标记模块目前处于框架、填充、测试或发布阶段。,当前状态,4,是,
当前状态,CUR05,已发布,标记模块目前处于框架、填充、测试或发布阶段。,当前状态,5,是,
版本号,VER01,V0.1,版本号的标准选项：V0.1。具体成立条件由对应模块规则定义。,版本号,1,是,
版本号,VER02,V0.2,版本号的标准选项：V0.2。具体成立条件由对应模块规则定义。,版本号,2,是,
版本号,VER07,V0.3,版本号的标准选项：V0.3。完成M04与M05关系识别层核心规则。,版本号,3,是,关系识别规则版
版本号,VER03,V0.9,版本号的标准选项：V0.9。具体成立条件由对应模块规则定义。,版本号,6,是,
版本号,VER04,V1.0,版本号的标准选项：V1.0。具体成立条件由对应模块规则定义。,版本号,7,是,
版本号,VER05,V1.1,版本号的标准选项：V1.1。具体成立条件由对应模块规则定义。,版本号,8,是,
版本号,VER06,V2.0,版本号的标准选项：V2.0。具体成立条件由对应模块规则定义。,版本号,9,是,
规则子类,M04-HE,M04｜天干五合,M04中用于固定五组天干五合配对的子类代码。,子类代码,1,是,首次用于V0.3
规则子类,M04-KE,M04｜天干相克,M04中用于二十组有向天干相克路径的子类代码。,子类代码,2,是,首次用于V0.3
规则子类,M04-POS,M04｜柱位标记,M04中用于年月、月日、日时、年日、月时、年时柱位实例化的子类代码。,子类代码,3,是,首次用于V0.3
规则子类,M04-HHC,M04｜合化候选,M04中用于五合化神候选生成而不裁定合化成立的子类代码。,子类代码,4,是,首次用于V0.3
规则子类,M04-ZHENG,M04｜争合,M04中用于同一五合配对一方重复、多关系共享节点的子类代码。,子类代码,5,是,首次用于V0.3
规则子类,M04-DUHE,M04｜妒合,M04中用于保留妒合流派标签及术语边界的子类代码。,子类代码,6,是,首次用于V0.3
规则子类,M04-GEHE,M04｜隔合,M04中用于隔位五合位置标签的子类代码。,子类代码,7,是,首次用于V0.3
规则子类,M04-YAOHE,M04｜遥合,M04中用于年时遥隔五合位置标签的子类代码。,子类代码,8,是,首次用于V0.3
规则子类,M04-OVER,M04｜多重关系,M04中用于合克并见、共享节点和多重关系实例的子类代码。,子类代码,9,是,首次用于V0.3
规则子类,M04-BOUND,M04｜识别边界,M04中用于藏干、关系分类及识别—效应分层边界的子类代码。,子类代码,10,是,首次用于V0.3
规则子类,M05-LIUHE,M05｜六合,M05中用于六组地支六合配对的子类代码。,子类代码,11,是,首次用于V0.3
规则子类,M05-SANHE,M05｜三合,M05中用于四组三合完整结构的子类代码。,子类代码,12,是,首次用于V0.3
规则子类,M05-BANHE,M05｜半合,M05中用于含中神的八组半合结构的子类代码。,子类代码,13,是,首次用于V0.3
规则子类,M05-GONGHE,M05｜拱合,M05中用于三合两端齐、中神缺失的四组拱合结构的子类代码。,子类代码,14,是,首次用于V0.3
规则子类,M05-SANHUI,M05｜三会,M05中用于四组三会完整结构的子类代码。,子类代码,15,是,首次用于V0.3
规则子类,M05-CHONG,M05｜六冲,M05中用于六组地支相冲配对的子类代码。,子类代码,16,是,首次用于V0.3
规则子类,M05-XING,M05｜三刑,M05中用于寅巳申、丑未戌与子卯刑的局部及完整结构子类代码。,子类代码,17,是,首次用于V0.3
规则子类,M05-ZIXING,M05｜自刑,M05中用于辰、午、酉、亥重复自刑候选的子类代码。,子类代码,18,是,首次用于V0.3
规则子类,M05-HAI,M05｜六害,M05中用于六组地支相害配对的子类代码。,子类代码,19,是,首次用于V0.3
规则子类,M05-PO,M05｜六破,M05中用于六组地支相破配对及争议权重管理的子类代码。,子类代码,20,是,首次用于V0.3
规则子类,M05-POS,M05｜柱位标记,M05中用于地支关系柱位实例化的子类代码。,子类代码,21,是,首次用于V0.3
规则子类,M05-SUIYUN,M05｜岁运补齐,M05中用于静态原局部分结构与动态岁运补齐接口的子类代码。,子类代码,22,是,首次用于V0.3
规则子类,M05-OVER,M05｜多重关系,M05中用于同一支或同一对支多重关系并存的子类代码。,子类代码,23,是,首次用于V0.3
规则子类,M05-BOUND,M05｜识别边界,M05中用于完整度、藏干替代、成局与效应分层边界的子类代码。,子类代码,24,是,首次用于V0.3
版本号,VER08,V0.4,版本号的标准选项：V0.4。完成M06干支关系实际效应核心规则。,版本号,4,是,关系效应规则版
规则子类,M06-TGHE,M06｜天干合效应,M06中用于天干五合的合动、合绊、合住、位置与争合效应。,子类代码,25,是,首次用于V0.4
规则子类,M06-TGHUA,M06｜天干合化,M06中用于五合化神门槛、固定化神方向、拒化与局部化意。,子类代码,26,是,首次用于V0.4
规则子类,M06-TGKE,M06｜天干相克效应,M06中用于天干相克的强弱、互耗、生扶缓冲及合克并见。,子类代码,27,是,首次用于V0.4
规则子类,M06-LIUHE,M06｜六合效应,M06中用于六合的合动、合绊、条件性化向与合冲裁决。,子类代码,28,是,首次用于V0.4
规则子类,M06-SANHE,M06｜三合效应,M06中用于三合成局门槛、中神、透干、破局与原支保留。,子类代码,29,是,首次用于V0.4
规则子类,M06-SANHUI,M06｜三会效应,M06中用于三会方局的季节气势、成局与共享节点归属。,子类代码,30,是,首次用于V0.4
规则子类,M06-BANGONG,M06｜半合拱合效应,M06中用于半合与拱合分级、中神作用和岁运补齐。,子类代码,31,是,首次用于V0.4
规则子类,M06-CHONG,M06｜六冲效应,M06中用于冲动、冲旺、冲弱、冲散、冲开、冲去、开库与根气变化。,子类代码,32,是,首次用于V0.4
规则子类,M06-XING,M06｜三刑效应,M06中用于三刑的刑动、刑伤、藏干引动、完整度与重叠关系。,子类代码,33,是,首次用于V0.4
规则子类,M06-ZIXING,M06｜自刑效应,M06中用于自刑启动、同气壅滞、弱支边界与主次裁决。,子类代码,34,是,首次用于V0.4
规则子类,M06-HAI,M06｜六害效应,M06中用于六害的暗损、桥梁阻滞与低权重条件修正。,子类代码,35,是,首次用于V0.4
规则子类,M06-PO,M06｜六破效应,M06中用于六破的连接松动、合局稳定性与低权重边界。,子类代码,36,是,首次用于V0.4
规则子类,M06-OVER,M06｜多重关系裁决,M06中用于合冲刑害破并见、共享节点归属与五步链式裁决。,子类代码,37,是,首次用于V0.4
规则子类,M06-BOUND,M06｜效应边界,M06中用于固定分值禁用、逐对象输出、根气与藏干边界及下游接口。,子类代码,38,是,首次用于V0.4
版本号,VER09,V0.5,版本号的标准选项：V0.5。完成M07五行原始旺衰核心规则。,版本号,5,是,五行原始旺衰规则版
规则子类,M07-SEAS,M07｜季令证据,M07中用于得令、旺相休囚死、四季土月、交节校验与季令去重。,子类代码,39,是,首次用于V0.5
规则子类,M07-ROOT,M07｜根气证据,M07中用于本中余气根、多根、库根、无根、透根相应及原始根边界。,子类代码,40,是,首次用于V0.5
规则子类,M07-STEM,M07｜透干显露,M07中用于单透、多透、浮干、藏而不透、透干位置与透根共源去重。,子类代码,41,是,首次用于V0.5
规则子类,M07-SOURCE,M07｜生源支持,M07中用于直接生源、强弱生源、多源、供给上限与生源缺失。,子类代码,42,是,首次用于V0.5
规则子类,M07-ALLY,M07｜同党与数量,M07中用于天干地支同党、干支呼应、集中度、阴阳同类与数量边界。,子类代码,43,是,首次用于V0.5
规则子类,M07-MOMENT,M07｜成势聚势,M07中用于多维汇合、位置覆盖、方向性聚势、反季节成党与成势去重。,子类代码,44,是,首次用于V0.5
规则子类,M07-CHAIN,M07｜连续生扶,M07中用于一段链、两段链、显露链、有根链、缺桥与链长衰减。,子类代码,45,是,首次用于V0.5
规则子类,M07-AGG,M07｜综合分级,M07中用于证据矩阵、七级旺衰、极端门槛、中和区间与输出规范。,子类代码,46,是,首次用于V0.5
规则子类,M07-BOUND,M07｜原始旺衰边界,M07中用于原始—有效分层、非机械计分、强弱喜忌分离与证据容量约束。,子类代码,47,是,首次用于V0.5
版本号,VER10,V0.6,版本号的标准选项：V0.6。完成M08五行有效旺衰核心规则。,版本号,6,是,五行有效旺衰规则版
规则子类,M08-ROOT,M08｜根气有效性,M08中用于根气受冲合刑害、墓库、改性与独立节点容量的有效性修正。,子类代码,48,是,首次用于V0.6
规则子类,M08-SOURCE,M08｜生源有效性,M08中用于强弱生源、合绊改性、供给冗余、容量分配与生扶链中断。,子类代码,49,是,首次用于V0.6
规则子类,M08-STEM,M08｜透达有效性,M08中用于透干、藏而不透、合绊合化、受克、位置与多透边际递减。,子类代码,50,是,首次用于V0.6
规则子类,M08-CONTROL,M08｜克制修正,M08中用于强克弱、弱克强、势均相克、制化、通关与克力容量。,子类代码,51,是,首次用于V0.6
规则子类,M08-LEAK,M08｜泄气修正,M08中用于主动泄气、弱泄、多路泄出、泄神受制与连续导流。,子类代码,52,是,首次用于V0.6
规则子类,M08-DRAIN,M08｜耗气修正,M08中用于主动克耗、强弱耗对象、多路耗力、容量约束与承载不足。,子类代码,53,是,首次用于V0.6
规则子类,M08-TRANS,M08｜合化会局改性,M08中用于天干合化、六合、三合、三会、半合、拱合及共享节点的力量重分配。,子类代码,54,是,首次用于V0.6
规则子类,M08-REL,M08｜冲刑害破修正,M08中用于六冲、三刑、自刑、六害、六破及多重关系的净效应修正。,子类代码,55,是,首次用于V0.6
规则子类,M08-CLIM,M08｜寒暖燥湿修正,M08中用于气候条件对五行透达、持续性、生发与可用性的接口修正。,子类代码,56,是,首次用于V0.6
规则子类,M08-FLOW,M08｜流通效率修正,M08中用于桥梁、缺桥、壅塞、承载不足及生化链传递效率。,子类代码,57,是,首次用于V0.6
规则子类,M08-AGG,M08｜有效旺衰综合分级,M08中用于七级有效旺衰、极端门槛、中和区间、反证与置信度。,子类代码,58,是,首次用于V0.6
规则子类,M08-BOUND,M08｜有效旺衰边界,M08中用于喜忌隔离、证据去重、非机械计分与争议降置信。,子类代码,59,是,首次用于V0.6
版本号,VER11,V0.7,版本号的标准选项：V0.7。完成M09日主旺衰核心规则。,版本号,7,是,日主旺衰规则版
规则子类,M09-LING,M09｜得令证据,M09中用于季令强弱、得令非充分条件、失令反强、四季月及月令证据去重。,子类代码,60,是,首次用于V0.7
规则子类,M09-DI,M09｜得地证据,M09中用于本中余气根、多根、无根、受冲根、日支根及根气可调用性。,子类代码,61,是,首次用于V0.7
